,person,herkunft,lebensdaten,karriere
34,Andô Kazuo 安藤一雄,Kagawa-ken,17.5.1883–1.8.1973,"März 1912–1914 (MfB) Chemie ♦ WS 1912/13 – U Berlin, Charlottenburg, Bleibtreustr. 53/3 ♦ WS 1912/13–SS 1913 TH Berlin, Bleibtreustr. 53/3 ♦ WS 1913/14–SS 1914 – TH Karlsruhe, Gottesauerstr. 22 ♦ SS 1914 – TH Berlin; Bleibtreustr. 53/3.Chemiker, Professor der Kyûshû-Universität; Mitautor von Saikin kagaku kôgyô shikenhô 最近化學工業試驗法 (Moderne Versuchsmethoden in der Chemieindustrie, 2 Bde) und 標準化學工業試驗法 (Normale Versuchsmethoden in der Chemieindustrie, 3 Bde)."
35,Andô Kenzaburô  (Kanesaburô) 安藤兼三郎,Tôkyô,12.10.1874–,"WS 1903/04–WS 1904/05 Sprachen – U Leipzig, Grassistr. 21/Eg.; Davidstr. 1b/1.Eigentümer einer Nichi-Doku Shôkai (Deutsch-Japanische Firma). Publik. u.a. Mitautor von Igyôshu kôryû 異業種交流 (Unterschiedliche Wechselströme)."
36,Andô Kiyoto 安東清人,Kumamoto,Mai 1854–17.9.1886,"Juli 1875–1880 (MfB) Ingenieurwesen ♦ WS 1875/76–1877 Hüttenkunde – BA Freiberg, Innenstadt Nr. 518 (heute: Herderstr. 5).Sekretär im MfB; Literatur u.a. Meiji shoki ryûgakusei Andô Kiyoto  明治初期留学生安藤清人 (Andô Kiyoto – Auslandsstudent der frühen Meijizeit) von Kamimura Naoki."
37,Andô Narimasa 安藤成正,Tôkyô,12.9.1881–,"WS 1913/14–SS 1914 Medizin – U München, Mozartstr. 9; Augsburger Str. 6.Dr. med. 1916, München: Klinische Bestimmungen der Erythrocytenresistenz, besonders bei Carcinoma uteri. München 1915, 51 S."
38,"Anenokôji Kintomo, Graf 姉の小路公義",Kyôto,4.4.1859–7.1.1905,"1883–1887 Recht ♦ SS 1883–WS 1883/84 – U Straßburg, Schiffleutstaden 7 ♦ SS 1884 – U Heidelberg, Leopoldstr. 26, bei Prof. Müller ♦ WS 1884/85–WS 1886/87 – U Berlin, Einhornstr. 10; Voßstr. 7.Diplomat in den USA."
39,Anezaki Masaharu 姉崎正治,Kyôto,25.7.1873–23.7.1949,"März 1900–Mai 1903 (MfB) Philosophie ♦ 1900–WS 1900/01 – U Kiel, Wilhelminenstr. 49 ♦ SS 1901 – U Berlin, Körnerstr. 22 ♦ WS 1901/02 – U Leipzig, Emilienstr. 22/2.Religionswissenschaftler, Professor der Tôkyô-Universität, Direktor der Universitätsbibliothek, Mitglied der Akademie Gakushiin. Publik. u.a. Japanese criticisms and refutations of Christianity in the seventeenth and eighteenth centuries, ferner Nichiren: the Buddhist prophet, Art, life, and nature in Japan."
40,Anno Kintsuchi 阿武金槌,Yamaguchi-ken,-,"1912–1913 Medizin in Straßburg, Marburg und Berlin."
41,Aoki Kaoru 青木薫,Kanagawa-ken,Jan. 1877–11.10.1938,Juli 1907–Aug. 1913 Medizin ♦ WS 1907/08–SS 1908 Hygiene – U Straßburg; Stimmerstr. 5; Arnoldplatz 6. Ab Okt. 1908 Assistent der U Straßburg.Professor der Tôhoku-Universität.
42,Aoki Shûzô 青木周蔵,Yamaguchi-ken,15.1.1844–16.2.1914,"Aug. 1868–März 1874 (Han) Recht ♦ WS 1870/71–WS 1872/73 – U Berlin, NW Mittelstr. 52.Vicomte, Botschafter in Deutschland in den 1870er und 1880er Jahren, 1889–1892 sowie 1898–1900 Außenminister, 1889 Berater des Sûmitsuin; Publik. u.a. Aoki Shûzô jiden 青木周蔵自伝 (Autobiografie des Aoki Shûzô)."
43,Aoki Tetsuji 青木徹二,Gifu-ken,9.9.1874–12.10.1930,"1899–1902 Recht ♦ WS 1899/1900 – U Göttingen ♦ SS 1900–WS 1901/02 – U-Berlin, N 4 Kesselstr. 13.Professor der Keiô-Universität, Anwalt. Publik. u.a. Tegatahô ron 手形法論: 全 (Über Wechselgesetze), Shôkôi ron: zen 商行為論: 全 (Über Handelsaktivitäten), Kaishahô ron: zen 會社法論: 全 (Über Firmengesetze)."
44,Aoto Nobukata 青戸信賢,Shimane-ken,Juli 1876–,"SS 1910–WS 1911/12 (MfB) Ingenieurwesen (Tiefbau) – TH Berlin, Charlottenburg, Kalckreuthstr. 14Gymnasialdirektor in Kanazawa."
45,Aoyagi Eiji 青柳栄司,Karusagawa,13.7.1873–22.8.1944,"Mai 1899–Okt. 1901 (MfB) Ingenieurwesen ♦ WS 1899/1900–SS 1900 Elektrotechnik – TH Darmstadt, Victoriaplatz 6 und 12 ♦ WS 1900/01–SS 1901 Maschinenbau – TH Berlin.Elektroingenieur, Professor an der Kyôto- und der Ôsaka-Universität, Mitautor u.a. von Kiryoku hatsudensho 汽力發電所 (Dampfkraftwerke) und Autor von Shûkyô-teki shinkô to kyôiku 宗教的信仰と教育 (Religiöser Glaube und Erziehung), Mikado Meiji-Tenno through his religious faith and ""Ko-kyo"" as our state religion (1938)."
46,Aoyama Shûji 青山衆司,Tôkyô,1.7.1871–,"WS 1906/07 Recht – U Berlin; Charlottenburg, Bleibtreustr. 41.Professor der Handelshochschule Tôkyô Shôka Daigaku. Publik. u.a.Hoken kei­yakuhô kenkyû 保險契約法研究 (Studien über Versicherungsvertragsgesetze), Shôhô sôron 商法総論 (Einführung in das Handelsrecht)."
47,Aoyama Tanemichi 青山胤通,Tôkyô,15.5.1857–24.12.1917,"WS 1883/84–WS 1886/87 (MfB) Medizin (Innere) – U Berlin, Ziegelstr. 13 ♦ 1903–Jan. 1904 erneut in Deutschland.Professor der Tôkyô-Universität, 1897 Direktor des Universitäts-Hospitals, 1901 Dekan der Medizinischen Fakultät, 1906 Mitglied der Akademie Gakushiin, Hofarzt; Mitherausgeber von Nihon naika zensho 日本内科全書 (Gesammelte Werke zur inneren Medizin Japans, Bde. 1–41), Aoyama hakase rinshô kôgi 青山博士臨牀講義 (Dr. Aoyamas klinische Vorlesungen)."
48,Aoyama Tetsuzô 青山徹藏,Nagano-ken,2.11.1882–10.1.1953,"1912–1914 Medizin in Berlin, Freiburg und Leipzig ♦ GH WS 1913/14 Chirurgie –U Leipzig.Professor der Tôkyô-Universität. Publik. u.a. Gan no shindan to chiryô 癌の診断と治療 (Diagnose und Therapie des Krebs), Shôgeka sôron 小外科總論 (Überblick über kleine Operationen)."
49,Arai Kobô (Furuyoshi) 新井古芳,"Tama-mura, Gunma-ken",19.1.1863–,"1892–1895 Medizin ♦ Ab Juni 1892 Sprachstudien in Berlin ♦ WS 1893/94–SS 1895 Medizin – U Erlangen, Fahrstr. 4; Universitätsstr. 36.Dr. med. 1895, Erlangen: Ein Beitrag zur Kenntnis der Chorea gravidarum. 40	 S.Arzt."
50,Arai Seishi (Seiji) 新井精司,Tôkyô,8.6.1888–,"1911–1913 Philosophie in Frankfurt/Main, Berlin, Jena und Dortmund ♦ WS 1911/12 – U Berlin, W 50 Ansbacher Str. 42/43 ♦ SS 1912–WS 1912/13 – U Jena, Frommannstr. 5.Direktor des Unternehmens Yamato Kôgyô."
51,Arakawa Bunroku 荒川文六,Kanagawa-ken,18.11.1878–9.2.1970,"WS 1909/10–SS 1910 (MfB) Ingenieurwesen (Elektrotechnik) – TH Berlin.Präsident der Kyûshû-Universität. Publik. u.a. Arakawa denki kôgaku 荒川電気工学 (Arakawas Elektrotechnik, 3 Bde), Kôryûki 交流機  (Wechselstrommotoren), Denki riron – denki keiki 電気理論・電気計器 (Elektrotheorien – Elektromess-geräte)."
52,"Arakawa Kunizô, Graf 荒川邦藏",Yamaguchi-ken,April 1852–11.10.1903,"Dez. 1870–1874 (Han) Recht ♦ SS 1873–WS 1873/74 U Berlin, Gertraudenstr. 18 ♦ erneut SS 1899–WS 1899/90 GH – U Berlin, japanische Gesandtschaft.Sekretär in mehreren Ministerien, um 1890 Regierungsrat der japanischen Gesandtschaft in Berlin, später Botschafter in Großbritannien. Publik. u.a. Übersetzung mexikanischer Verwaltungsgesetze unter dem Titel Bokkoku chihô gyôseihô ruishû 孛国地方行政法類集 (Sammlung mexikanischer lokaler Verwaltungsgesetze, Bde. 1–18, 1880–1883)."
53,Araki Sôtarô 荒木蒼太郎,Okayama-ken,1.2.1869–7.3.1932,"Febr. 1907–April 1909 (MfB) Medizin (Psychatrie) ♦ SS 1907–WS 1907/08 – U Gießen, Hillebrandstr. 2 ♦ SS 1908–WS 1908/09 – U Göttingen, Rosdorferweg 54.Professor der Medizinischen Hochschule Okayama Igaku Senmon Gakkô. Publik. u.a. Shinkeibyôgaku sûki 神経病学枢機 (Angelpunkte der Neurologie, 2 Bde), Chôwa kaiseki 調和解析 (Analyse der Harmonie)."
54,Araki Takuji 荒木卓爾,-,-,"1884– ? Rechtstudien.Publik. u.a. Beikoku seikyôron 米国正教論 (Über Staat und Kirche in den USA, Übersetzung einer Arbeit von J. P. Thompson)."
55,Araki Torasaburô 荒木寅三郎,Gunma-ken,17.10.1866–28.1.1942,"April 1889–Dez. 1895 Medizin ♦ SS 1889–WS 1892/93 – U Straßburg, Pergamentergasse 4.Dr. med. 1891, Straßburg: Über die Bildung von Milchsäure und Glycose im Organismus bei Sauerstoffmangel. 38 S., 1 Bl.Dekan an der Kyôto-Universität, Präsident der Universität Gakushûin. Publik. u.a. Kangakugo: senseishiki kunji 勸學語: 宣誓式訓辭 (Worte der Ermunterung zum Studium – Instruktionen bei der Vereidigung)."
56,Araki Toratarô 荒木虎太郎,Saga-ken,Dez. 1869–,"1889–1893 Recht ♦ WS 1889/90 – U Jena; Saalbahnhofstr. 8 ♦ SS 1890–WS 1890/91 und SS 1893 – U Göttingen, Wöhlerstr. 10, bei Knauer ♦ SS 1891–WS 1892/93 – U Jena, Zeißstr. 6.Dr. jur. 1893, Göttingen: Japanisches Eheschließungsrecht. 53 S.Patentanwalt. Publik. u.a. Nihon chôsakukenhô yôron 日本著作権法要論 (Abriss des japanischen Urheberrechts)."
57,Arichi Shinanojô 有地品之允,"Hagi, Yamaguchi-ken",14.4.1843–17.1.1919,"Aug. 1870–Juli 1871 (Han) Militärstudien als Kriegsbeobachter im Deutsch-Französischen Krieg in Frankreich und Deutschland.Vizeadmiral. 1887 Direktor der Militärakademie Rikugun Daigaku, 1896 zum Baron geadelt, 1897 und 1904 Mitglied des Adelshauses Kizokuin, 1917 Rat am Kaiserlichen Hof."
58,Ariga Nagao 有賀長雄,Ôsaka,1.10.1860–17.6.1921,"Nov. 1886–März 1888 (Armee) Recht ♦ SS 1887–WS 1888 – U Berlin, Charitéstr. 5.Ab 1888 Sekretär im Sûmitsuin, Professor der Militärakademie Rikugun Daigaku, Rechtsberater im Russisch-Japanischen Krieg 1904/05, Professor der Waseda-Universität. Publik. u.a. Kindai gaikôshi 近時外交史 (Geschichte der modernen Diplomatie, 1898), La guerre russo-japonaise: Au point de vue continental et le droit international (Paris 1908), Gyôseihô kôgi 行政法講義 (Vorlesungen zum Verwaltungsrecht), Kokuhôgaku 国法学 (Lehre vom Staatsrecht, 2 Bde)."
59,Arikawa Takaichi 有川鷹一,-,–31.1.1955,"Aug. 1899–Nov. 1902 (Armee) als Leutnant Militärstudien in Berlin und Hannover.Generalleutnant, Vizepräsident der Flugzeugwerke Nakashima Hikôki."
60,Arima Jihei 有馬治兵衛,Kagoshima,-,"1869–1874 (Han) Recht ♦ WS 1873/74 – U Göttingen, Untere Karspüle 4, bei Petri."
61,Arimori Shinkichi 有森新吉,Okayama,26.1.1860–18.12.1933,"1886–1892 Kameralistik und Philosophie ♦ SS 1886–WS 1886/87 Philosophie – U Jena, bei D. Henkel ♦ SS 1887–SS 1889 Kameralistik – U Berlin, SW Königgrätzerstr. 107 ♦ WS 1889/90 Kameralistik – U Tübingen, Grabenstr. 27 ♦ SS 1890–WS 1890/91 Philosophie – U Straßburg, Schiffleutgasse 29.Dr. jur. 1892, Straßburg: Das Staatsrecht von Japan. 2 Bl., 111 S.Professor der Universität Gakushûin, Direktor der Handelshochschule Hakodate Shôgyô Gakkô, 1912 Abgeordneter des Shûgiin, Unternehmer."
62,Arisawa Jun (Uruo) 有澤潤,Ôsaka-shi,6.3.1881–,"1909 und 1914 Medizin in Freiburg.Direktor des Arisawa Augen-Hospitals in Ôsaka. Publik. u.a. Mitautor von Taisei ongaku taika den: kan 泰西音樂大家傅: 完 (Biografien von großen Musikern des Okzidents, 1907)."
63,Arita Jô (Yurusu) 有田恕,Hiroshima-ken,1862–,Febr. 1900–1903 (Armee) als Major Militärstudien in Berlin.Generalleutnant.
64,Ariyoshi Chûichi 有吉忠一,Kyôto,2.6.1876–10.2.1937,"Nov. 1907–März 1908 Recht.Politiker, Gouverneur der Präfekturen Chiba, Miyazaki, Kanagawa und Hyôgo, 1925 Bürgermeister von Yokohama, Direktor der Abteilung für Allgemeines der Kolonialregierung in Korea, Mitglied des Kizokuin."
65,Asada Shigetarô (Hantarô) 浅田繁太郎,Tôkyô,7.2.1864–,"WS 1899/1900–SS 1900 Medizin – U Erlangen, Marquardsenstr. 22; Luitpoldstr. 74.Dr. med. 1900, Erlangen: Über die Diazo-Reaction im Harn der Phthisiker. 23 S.Arzt in Shiba, Tôkyô."
66,Asahara Shinjirô 浅原慎次郎,Tôkyô,26.3.1871–12.5.1937,"WS 1896/97–WS 1897/98 Medizin (Chirurgie) – U Berlin; Spenerstr. 5 ♦ Juni 1897– ?  Berliner Hospital.Dr. med. 1898, Berlin: Über Metastasen der Gonorrhöe. 41 S.Direktor des Higashiyama-Hospitals."
67,Asahi Ikutarô 朝日幾太郎,Nagano-ken,-,"1891–1892 Medizin ♦ WS 1891/92 – U Berlin, NW 6 Philippstr. 3 ♦ SS 1892 – U Göttingen, Friedländer Weg 35, bei Weber.Arzt in Nagoya; publizierte u.a. 1901 mit Kinai Matanosuke Shin jitsuyô Doku-Wa kaiwa: zen 新撰實用獨和會話: 全 ( Untertitel: Neue practische Deutsch-japanische Konversation, 1901)."
